District,Latitude,Longitude,Location,Block,Capacity(In kWp),Category,Financial Year
Ramgarh,23.65448648,85.51577834,Mahila P.S. Ramgarh,,10,Police Station,FY 20-21
Ramgarh,23.80846037,85.46994559,"CHC, Mandu, Ramgarh",,10,Hospital,FY 20-21
Hazaribag,23.89124073,85.08933824,"PHC Keredari, Hazaribag",,10,Hospital,FY 20-21
Simdega,22.50542069,85.03596604,"PHC, Hurda, Bano, Simdega",,10,Hospital,FY 20-21
Simdega,22.56675037,84.13069255,"PHC, Kurudeg, Simdega",,10,Hospital,FY 20-21
Lohardaga,"23.36384206473954, ",84.78205513,"PHC Bhandra, Lohardaga",,10,Hospital,FY 20-21
Lohardaga,23.38361079,84.65172231,"PHC Senha, Lohardaga",,10,Hospital,FY 20-21
Giridih,24.19037282,86.30341467,"SDO Office, Khorimahuwa Giridih",,50,Govt. Buildings,FY 20-21
Giridih,24.18876096,86.3062019,"MCH Sadar Hospital Chaitadih, Giridih",,50,Hospital,FY 20-21
Giridih,24.27417132,86.38125911,KVK Giridih,,25,Educational Institution,FY 20-21
Giridih,24.21225162,86.25794093,"PHC Bengabad, Giridih",,10,Hospital,FY 20-21
Giridih,24.29278735,85.92997391,"PHC Birni, Giridih",,10,Hospital,FY 20-21
Giridih,24.54412769,86.19192914,"PHC Deori, Giridih",,10,Hospital,FY 20-21
Giridih,24.00008684,85.99921731,"Referral Dumri, Giridih",,10,Hospital,FY 20-21
Giridih,24.1841301,86.44629647,"PHC Gandey, Giridih",,10,Hospital,FY 20-21
Giridih,24.63495557,85.91666947,"PHC Gawan, Giridih",,10,Hospital,FY 20-21
Giridih,24.37188835,86.14947125,"PHC Jamua, Giridih",,10,Hospital,FY 20-21
Giridih,24.40344881,85.97903335,"Referral Rajdhanwar, Giridih",,10,Hospital,FY 20-21
Giridih,24.21091376,86.25257346,"PHC Tisri, Giridih",,10,Hospital,FY 20-21
Giridih,24.07792221,85.83236924,P.S. BAGODAR,,10,Police Station,FY 20-21
Giridih,24.17349726,85.8841181,P.S. SARIYA,,10,Police Station,FY 20-21
Giridih,24.65572196,86.00508739,P.S. LOKAINAYANPUR,,10,Police Station,FY 20-21
Giridih,24.60791879,86.22273115,P.S. BHELWAGHATI,,10,Police Station,FY 20-21
Giridih,25.14676151,85.83797719,P.S. MAHILA PS,,10,Police Station,FY 20-21
Giridih,24.22168217,86.28557604,P.S. PACAMBA,,10,Police Station,FY 20-21
Giridih,24.18804802,86.30643791,"OPD Old Sadar Hospital Tower Chowk, Giridih",,10,Hospital,FY 20-21
Giridih,23.8495214,86.04220568,"P.S. Nawadiha, Giridih",,10,Police Station,FY 20-21
Lohardaga,23.42124424,84.69235925,"KGBV Bhandra, Lohardaga",,25,Educational Institution,FY 20-21
Hazaribag,24.41833662,85.24781527,"CHC Chouparan, Hazaribag",,25,Hospital,FY 20-21
Kodarma,24.24150459,85.3756116,"PHC Jainagar, Kodarma",,10,Hospital,FY 20-21
Kodarma,24.47557618,85.68092316,"Referral Hospital Domchanch, Kodarma",,10,Hospital,FY 20-21
Ranchi,23.19486231,85.69541469,"PHC Sonahatu, Ranchi",,10,Hospital,FY 20-21
Ranchi,23.37765525,85.32508924,"C.O Office, Ranchi Sadar",,10,Hospital,FY 20-21
Ranchi,23.37854252,85.32520853,"C.O Office, Hehal, Ranchi",,10,Govt. Buildings,FY 20-21
Ranchi,23.35096516,85.30529581,"CHC Doranda, Ranchi",,10,Hospital,FY 20-21
Simdega,22.6109215,85.05101065,"ST-SC Boys Residential Middle School Hatinghore, Bano, Simdega",,25,Educational Institution,FY 20-21
Simdega,22.61437118,84.49335111,"Adiwasi Balika Chatrawas, Simdega",,25,Educational Institution,FY 20-21
SaraikelaKharsawan,23.00417286,86.13299425,"CHC Nimdih, Saraikela-kharsawan",,10,Hospital,FY 20-21
Godda,24.82634227,87.2130816,"Civil Surgeon Office, Godda",,20,Govt. Buildings,FY 20-21
Godda,24.94213456,87.17163703,"Jharkhand Balika Awasiya Vidhyalaya, Basant Rai Godda",,30,Educational Institution,FY 20-21
Godda,24.82631544,87.21520518,"DIS Fisheries Office, Godda",,10,Govt. Buildings,FY 20-21
Godda,24.88859312,87.20616845,"PHC Rupuchak, Godda",,10,Hospital,FY 20-21
Godda,24.82460995,87.21135191,"District Industry Center, Godda",,10,Govt. Buildings,FY 20-21
Godda,24.82701596,87.21401467,"Nagar Parishad Office, Godda",,10,Govt. Buildings,FY 20-21
Simdega,22.44154539,84.34180723,"PHC, Bolba, Simdega",,10,Hospital,FY 20-21
Simdega,22.57479817,84.80831425,"PHC, Jaldega, Simdega",,10,Hospital,FY 20-21
Bokaro,23.68109231,86.15551261,"PHC, Pindajori, Chas, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.61322486,86.17795783,"Sub Divisional Hospial, Chas",,10,Hospital,FY 20-21
Bokaro,23.5697323,86.37696226,Block office Chandankiyari,,10,Govt. Buildings,FY 20-21
Gumla,23.03819107,84.53719574,"Civil Court , Gumla",,100,Govt. Buildings,FY 20-21
Gumla,"23.038339792560944,",84.53762466,"SDO Sadar , Gumla",,50,Hospital,FY 20-21
Ranchi,"23.4010122927295,",85.47267774,"ITI Angara, Ranchi",,50,Educational Institution,FY 20-21
Ranchi,23.41700094,85.23087937,"CO Office, Ratu, Ranchi",,10,Govt. Buildings,FY 20-21
Ranchi,23.32432692,85.18123679,"CO Office,Nagari, Ranchi",,10,Govt. Buildings,FY 20-21
Ranchi,23.37918617,85.32440858,"CO Office,Mandar, Ranchi",,10,Govt. Buildings,FY 20-21
Ranchi,23.50643581,84.97881355,"CO Office,Chanho, Ranchi",,10,Govt. Buildings,FY 20-21
Ranchi,23.65746844,85.00490607,"CO Office,Khalari, Ranchi",,10,Govt. Buildings,FY 20-21
Ranchi,23.39162354,85.32497238,"CO Office,Burmu, Ranchi",,10,Govt. Buildings,FY 20-21
Ranchi,23.35232568,85.12294065,"CO Office, Itki, Ranchi",,10,Govt. Buildings,FY 20-21
Gumla,23.26736438,84.55222778,"CHC Ghaghra, Gumla",,10,Hospital,FY 20-21
Gumla,23.37709629,84.38547276,"CHC Bishunpur, Gumla",,10,Hospital,FY 20-21
Gumla,22.95309492,84.45326136,"CHC Raidih, Gumla",,10,Hospital,FY 20-21
Gumla,23.24181443,84.88380336,"CHC Bharno, Gumla",,10,Hospital,FY 20-21
Gumla,23.04453354,84.53781771,CHC Gumla Sadar,,10,Hospital,FY 20-21
Gumla,22.90663418,84.91832988,"PS Kamdara, Gumla",,10,Police Station,FY 20-21
Gumla,22.87157829,84.82107348,"PS Basia, Gumla",,10,Police Station,FY 20-21
Gumla,23.04728518,84.53950963,"PS Bharno, Gumla",,10,Police Station,FY 20-21
Gumla,23.1729685,84.75218304,"PS Sisai, Gumla",,10,Police Station,FY 20-21
Bokaro,23.64225105,86.16244908,"CHC Petarwar, Bokaro",,10,Hospital,FY 20-21
Lohardaga,23.41840889,84.69201593,"KGBV, Kudu, Lohardaga",,20,Educational Institution,FY 20-21
Lohardaga,23.44423982,84.6854928,"KGBV, Kisko, Lohardaga",,20,Educational Institution,FY 20-21
Chatra,24.07734515,84.73578634,"PHC Mayurhand, Chatra",,10,Hospital,FY 20-21
PashchimiSinghbhum,22.58114789,86.48237283,"P.S Galudih, Ghatshila, Pashchimi Singhbhum",,10,Police Station,FY 20-21
Ranchi,23.26486634,85.30456451,"P.S Tupudana, Ranchi",,10,Police Station,FY 20-21
Ranchi,23.32299691,85.37877049,"PHC, Namkom, Ranchi",,10,Hospital,FY 20-21
Ranchi,23.51441463,85.17368933,"PHC, Ratu, Ranchi",,10,Hospital,FY 20-21
Ramgarh,23.68901979,85.25145193,"PHC, Patratu, Ramgarh",,10,Hospital,FY 20-21
Ranchi,23.43528405,85.31749471,"PHC, Kanke, Ranchi, Ranchi",,10,Hospital,FY 20-21
Ranchi,23.57078704,85.13318703,"PHC, Burmu, Ranchi",,10,Hospital,FY 20-21
Ranchi,23.5698414,85.13308284,"APHC, Makluskingganj, Burmu, Ranchi",,10,Hospital,FY 20-21
Ranchi,23.51535907,85.17180104,"PHC, Ratu, Ranchi",,10,Hospital,FY 20-21
SaraikelaKharsawan,23.03148938,85.94087892,PHC Ichagarh Saraikela-Kharsawan,,10,Hospital,FY 20-21
Hazaribag,23.99636218,85.3635881,Civil Court Hazaribag Block A,,100,Govt. Buildings,FY 20-21
Hazaribag,23.99636218,85.3635881,Civil Court Hazaribag Block B,,100,Govt. Buildings,FY 20-21
Bokaro,23.51289286,85.92034279,"PhC Karma (Purnadih), Kasmar, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.76827359,85.93416395,"CHC Bermo, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.78110749,85.96709995,"UPHC Dhori Bermo, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.44497001,85.31348207,"PHC Ranchi Dhaura, Bermo, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.84116695,86.51597142,"CHC Govindpur, Phae-II, Bermo, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.78160814,85.94591511,"PHC Barigram, Gandhinagar, Bermo, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.7581648,86.14076895,"Add PHC Ratari Bermo, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.80464471,85.81149726,"HSC Kander, Gomia, Bokaro",,10,Educational Institution,FY 20-21
Bokaro,23.66532398,86.01597275,"PHC / HSC Paturia, Jaridih, Bokaro",,10,Hospital,FY 20-21
Bokaro,23.64485051,86.16615872,"CHC Jaridih, Bokaro ",,10,Hospital,FY 20-21
Bokaro,23.64289551,86.15853242,"Civil Court, Bokaro ",,100,Govt. Buildings,FY 20-21
Bokaro,23.43360061,85.31339951,"RINPAS, Ranchi",,50,Hospital,FY 20-21
Ranchi,23.41632769,85.25731162,"STF Jaguar, Ranchi",,100,Govt. Buildings,FY 20-21
Ranchi,23.30053168,85.26048437,"Judicial Academy, Ranchi",,100,Govt. Buildings,FY 20-21
PashchimiSinghbhum,22.81153553,86.21272754,"Civil Court, Jamshedpur",,100,Govt. Buildings,FY 20-21
PashchimiSinghbhum,23.30177296,85.28914291,Rajaswa Parishad Office,,30,Govt. Buildings,FY 20-21
Bokaro,23.81574976,86.06606023,"CHC Nawadih, Bokaro",,50,Hospital,FY 20-21
Bokaro,23.83333511,86.52086756,"CHC Govindpur, Dhanbad",,20,Hospital,FY 20-21
Bokaro,23.78676583,86.70189571,PHC Beragaria-2 Nirsa Dhanbad,,20,Hospital,FY 20-21
Bokaro,23.74368376,86.7950533,"PHC Chirunda, Nirsa, Dhanbad",,20,Hospital,FY 20-21
Bokaro,23.80809619,86.43374323,"CHC Sadar, Dhanbad",,10,Hospital,FY 20-21
Gumla,23.39103905,84.3965325,Kasturba Gandhi Balika Vidyalaya Ghaghra Gumla,,50,Educational Institution,FY 20-21
Sahibganj,25.05329039,87.83750621,"SDO, Rajmahal, Sahibganj",,50,Govt. Buildings,FY 20-21
Sahibganj,25.23591731,87.66157572,"Krishi Vigyan Kendra, Sahibganj",,30,Educational Institution,FY 20-21
Sahibganj,25.24428565,87.63179051,"Town Police Station, Sahibganj",,10,Police Station,FY 20-21
Sahibganj,25.25161063,87.58167117,"Muffasil Police Station, Sahibganj",,10,Police Station,FY 20-21
Sahibganj,25.23989927,87.65138136,"Borio Police Station, sahibganj",,10,Police Station,FY 20-21
Sahibganj,25.23965914,87.6512149,Mirzachowki Police Station Sahibganj,,10,Police Station,FY 20-21
Sahibganj,25.13255685,87.65864209,"PHC Banjhi, Sahibganj",,10,Hospital,FY 20-21
Sahibganj,25.13322597,87.65807146,"Health Sub Center Paharpur, Sahibganj",,10,Hospital,FY 20-21
Chatra,23.95460744,85.40654176,"Aashram Residential School,Simaliya Chatra",,25,Educational Institution,FY 20-21
Chatra,24.38070407,85.50539583,"Jharkhand Balika Awasiya Vidhyalaya, Mayurhand, Chatra",,30,Educational Institution,FY 20-21
Chatra,24.29171662,85.15138314,"PHC Itkhori, Chatra",,20,Hospital,FY 20-21
Chatra,24.31424528,85.00032115,"PHC Hunterganj, Chatra",,20,Hospital,FY 20-21
Chatra,24.20318581,84.92491584,"KVK ,Chatra",,10,Educational Institution,FY 20-21
Chatra,24.44522951,84.58964902,"Addl.PHC Jori, Hunterganj, Chatra",,10,Hospital,FY 20-21
Deoghar,24.49318495,86.68273882,"Civil Court ,Deoghar",,100,Govt. Buildings,FY 20-21
Deoghar,24.29359706,86.63762948,"Madhupur Referral Hospital, Deoghar",,80,Hospital,FY 20-21
Deoghar,24.54433212,86.68604114,"PHC Baghmara, Deoghar",,10,Hospital,FY 20-21
Ranchi,23.310678,85.30160133,"Animal Husbandry,  Ranchi ",,100,Hospital,FY 20-21
Lohardaga,23.24175243,84.88822021,"KGBV,Bharno, Lohardaga",,30,Educational Institution,FY 20-21
Ranchi,23.357651,85.24586198,"Institute of Forest Productivity, Lalgutuwa, Ranchi",,50,Educational Institution,FY 20-21
Hazaribag,23.84074956,84.92539388,"PHC, Barkagaon, Hazaribag",,10,Hospital,FY 20-21
Hazaribag,23.79426511,84.93844023,"PHC, Keradari , Barkagaon, Hazaribag",,10,Hospital,FY 20-21
purbaSinghbhum,22.54657313,85.80651638,"Civil Court, Chaibasa",,100,Govt. Buildings,FY 20-21
Gumla,23.03837929,84.53758175,"SDO Office Basia,Gumla",,50,Govt. Buildings,FY 20-21
Ranchi,23.40348308,85.48807491,"CHC Angara,Ranchi",,50,Hospital,FY 20-21
Hazaribag,24.0146903,85.37409768,"Jhakrhand Police Academy, Hazaribag",,30,Police Station,FY 20-21
Gumla,22.86200199,84.80731271,"Refferel Hospital, Basia, Gumla",,20,Hospital,FY 20-21
